,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent
32,1,68657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,4.27e+16,77,1196,1,0,2,0
33,1,49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,2.63e+16,72,65,0,2,3,1
34,1,67353,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1.56e+16,53,913,1,1,3,1
35,2,23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,2.59e+16,47,81,1,1,3,1
36,0,42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1.19e+16,50,67,0,1,2,1
37,1,48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,4.43e+16,80,902,0,0,1,0
38,0,80011,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,3.68e+16,43,1395,1,1,3,1
39,1,20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,4.1e+16,38,53,1,1,3,1
40,0,21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,4.77e+16,66,22,1,1,3,1
41,1,7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,2.33e+16,48,31,1,1,3,1
42,0,79941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,86400000000000.0,47,984,0,0,1,0
43,2,7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,5.16e+16,27,122,1,0,2,0
44,0,41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,3.46e+16,55,55,1,1,3,1
45,1,72550,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,5.17e+16,69,1319,1,2,4,1
46,0,65486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,4147200000000000.0,66,507,0,1,2,1
47,1,79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,5.94e+16,59,1693,1,0,2,0
48,0,35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,4.69e+16,46,72,0,1,2,1
49,0,82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1900800000000000.0,46,1617,0,0,1,0
50,0,66373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,3.3e+16,45,606,1,2,4,1
51,1,82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,5.07e+16,68,1957,1,0,2,0
52,0,70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,3.91e+16,57,1093,0,0,1,0
53,0,27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,5356800000000000.0,35,29,0,1,2,1
54,1,55954,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1.02e+16,55,518,1,1,3,1
55,1,75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,3.11e+16,41,1438,0,0,1,0
56,0,66653,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,5.7e+16,48,612,1,2,4,1
57,0,61823,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,4.29e+16,71,884,0,1,2,1
58,1,67680,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,3.31e+16,72,606,0,1,2,1
59,0,70666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1.77e+16,75,1076,1,0,2,0
60,0,25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,3.49e+16,52,34,1,1,3,1
61,0,32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,4233600000000000.0,56,11,1,2,4,1
62,2,88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,8812800000000000.0,44,1274,0,1,2,1
63,0,69096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,2.38e+16,65,653,1,1,3,1
64,0,74854,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,3.86e+16,53,1562,1,3,5,1
65,1,66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,5.67e+16,69,1253,1,0,2,0
66,0,65031,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,4.05e+16,64,863,1,1,3,1
67,1,60631,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,3.89e+16,48,661,1,2,4,1
68,0,28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,5184000000000000.0,71,65,1,0,2,0
69,0,40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,4.81e+16,46,13,0,1,2,1
70,1,75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,5.8e+16,51,1890,1,0,2,0
71,0,75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,5.4e+16,47,2209,0,0,1,0
72,2,26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,2.57e+16,47,18,1,0,2,0
73,0,56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,4.69e+16,58,692,1,0,2,0
74,0,29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,5.78e+16,38,165,0,1,2,1
75,0,26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,3.21e+16,54,16,1,1,3,1
76,2,23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,3.12e+16,50,79,1,1,3,1
77,1,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,3.58e+16,60,318,1,0,2,0
78,0,81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,1.07e+16,36,778,0,0,1,0
79,0,29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,2.78e+16,63,56,1,2,4,1
80,1,36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,3.01e+16,53,151,1,2,4,1
81,0,50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,2764800000000000.0,66,372,0,1,2,1
82,0,79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,4147200000000000.0,50,1366,1,0,2,0
83,0,54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1.37e+16,56,194,1,1,3,1
84,1,42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,8467200000000000.0,51,32,0,1,2,1
85,1,23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,3110400000000000.0,53,43,1,1,3,1
86,0,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,3283200000000000.0,40,45,1,1,3,1
87,0,47916,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,5.05e+16,63,606,0,1,2,1
88,0,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,3.84e+16,51,63,0,2,3,1
89,2,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,1.81e+16,72,978,1,0,2,0
90,1,50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,3.23e+16,40,410,1,0,2,0
91,2,47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,2.95e+16,63,72,0,1,2,1
92,1,34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,7862400000000000.0,64,55,0,1,2,1
93,0,85693,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,3.76e+16,44,1169,1,1,3,1
94,1,65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,3.53e+16,78,1120,1,0,2,0
95,0,87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,4492800000000000.0,64,1097,1,0,2,0
96,2,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1.74e+16,44,29,1,1,3,1
97,0,49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,2.4e+16,59,187,1,2,4,1
98,0,52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,4.42e+16,54,910,1,2,4,1
99,0,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,4.81e+16,45,145,0,1,2,1
100,1,89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,4.92e+16,63,850,1,0,2,0
101,0,77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,2.06e+16,44,969,1,1,3,1
102,1,68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,5.15e+16,32,1820,0,0,1,0
103,1,57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,345600000000000.0,60,608,1,1,3,1
104,0,86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,4.69e+16,32,730,0,0,1,0
105,1,43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,4.87e+16,43,551,1,1,3,1
106,0,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,2.52e+16,61,114,0,2,3,1
107,0,90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1.35e+16,53,1724,1,0,2,0
108,2,36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,4.28e+16,45,577,1,1,3,1
109,2,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,3.05e+16,56,81,1,2,4,1
110,0,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,1.96e+16,54,33,1,1,3,1
111,1,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,3.23e+16,70,660,1,1,3,1
112,1,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,1.08e+16,56,80,0,1,2,1
113,1,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,2.57e+16,38,30,1,2,4,1
114,0,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,3.74e+16,47,43,0,1,2,1
115,0,101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,4.1e+16,40,1135,0,0,1,0
116,2,71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,4.29e+16,58,559,1,0,2,0
117,0,79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,3.75e+16,39,1923,0,0,1,0
118,1,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,1814400000000000.0,70,90,1,2,4,1
119,1,77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,4320000000000000.0,67,661,1,2,4,1
120,0,62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,2.35e+16,71,463,1,1,3,1
121,1,61331,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,4.11e+16,65,632,0,2,3,1
122,0,73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,1.2e+16,54,725,1,0,2,0
123,1,41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,2.76e+16,59,279,1,2,4,1
124,1,62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,4.05e+16,56,1482,1,0,2,0
125,2,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,5.96e+16,47,29,0,1,2,1
126,1,33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,3.08e+16,64,106,1,3,5,1
127,1,35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,3542400000000000.0,50,49,0,2,3,1
128,1,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,2.9e+16,58,38,0,2,3,1
129,1,92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,5.34e+16,31,2077,0,0,1,0
130,1,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1.96e+16,47,1053,1,1,3,1
131,0,86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,3.77e+16,61,1385,1,0,2,0
132,1,68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,2.64e+16,49,871,0,1,2,1
133,0,41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,4.03e+16,35,312,1,1,3,1
134,0,59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,5.35e+16,47,877,1,2,4,1
135,0,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,5.26e+16,48,68,1,1,3,1
136,0,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,2.64e+16,42,22,1,1,3,1
137,2,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,5.84e+16,50,211,1,3,5,1
138,1,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,691200000000000.0,57,127,1,0,2,0
139,1,59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,5702400000000000.0,70,459,1,2,4,1
140,0,65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,9849600000000000.0,54,460,1,1,3,1
141,2,46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,4.86e+16,51,429,1,1,3,1
142,0,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,4147200000000000.0,35,89,0,1,2,1
143,1,61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,5.43e+16,71,1021,1,1,3,1
144,0,69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,4.28e+16,74,1381,1,0,2,0
145,0,49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,3.08e+16,65,306,0,1,2,1
146,0,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,2.51e+16,45,18,0,3,4,1
147,0,55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,2.2e+16,46,162,1,1,3,1
148,0,80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,2.7e+16,68,1231,0,0,1,0
149,1,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,3.14e+16,65,13,0,3,4,1
150,1,70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,5.19e+16,78,1706,1,0,2,0
151,0,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,1.51e+16,39,121,1,1,3,1
152,1,74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,3.66e+16,48,1293,0,0,1,0
153,1,157243,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,1.04e+16,50,1608,1,1,3,1
154,0,43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,1.97e+16,57,88,1,3,5,1
155,0,62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,1.93e+16,70,421,0,0,1,0
156,0,52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,2.64e+16,64,259,0,0,1,0
157,0,66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,2.06e+16,35,1117,0,0,1,0
158,0,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,1.07e+16,66,89,1,2,4,1
159,0,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,5961600000000000.0,58,36,1,2,4,1
160,0,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,3.03e+16,41,57,1,1,3,1
161,0,50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,5961600000000000.0,53,148,1,2,4,1
162,1,53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,1.3e+16,64,93,1,2,4,1
163,0,52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,7430400000000000.0,56,119,0,1,2,1
164,1,80427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,5.66e+16,48,1835,1,1,3,1
165,1,83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,4.84e+16,75,1318,1,0,2,0
166,1,38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,3196800000000000.0,53,45,1,2,4,1
167,0,38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,432000000000000.0,64,10,1,3,5,1
168,2,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,1.81e+16,72,978,1,0,2,0
169,1,51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,4233600000000000.0,47,191,1,1,3,1
170,2,16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,4320000000000000.0,35,57,1,1,3,1
171,1,66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,2.37e+16,77,1033,1,0,2,0
172,1,30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,1.37e+16,39,66,1,1,3,1
173,2,28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,1209600000000000.0,62,43,1,0,2,0
174,0,25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,4.93e+16,40,50,1,1,3,1
175,1,32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,9763200000000000.0,53,39,0,1,2,1
176,0,61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,2.86e+16,57,608,1,1,3,1
177,0,74068,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,4.03e+16,47,1581,1,0,2,0
178,1,45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,4.24e+16,59,68,1,2,4,1
179,2,24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,5.69e+16,45,80,1,1,3,1
180,1,66973,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,3.53e+16,34,1282,1,0,2,0
181,0,38872,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,3.41e+16,35,91,1,1,3,1
182,0,51148,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,4.29e+16,50,315,1,2,4,1
183,0,31353,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,1.57e+16,46,31,1,2,4,1
184,1,69661,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,4060800000000000.0,43,834,1,0,2,0
185,0,80067,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,2.45e+16,69,1600,1,0,2,0
186,0,86718,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,4.56e+16,69,1270,1,0,2,0
187,1,46854,1,1,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,7776000000000000.0,50,263,0,2,3,1
188,0,69142,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,0.0,71,535,0,1,2,1
189,0,75922,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,1.75e+16,55,1295,0,0,1,0
190,0,63693,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,2.23e+16,45,1150,0,1,2,1
191,1,102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,5.22e+16,46,1240,1,0,2,0
192,1,40637,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,3e+16,58,38,0,2,3,1
193,1,18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,5.15e+16,39,35,0,0,1,0
194,0,29604,1,0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,1.75e+16,35,53,1,1,3,1
195,1,48721,1,1,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,3.56e+16,60,293,0,2,3,1
196,0,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,1814400000000000.0,57,65,1,1,3,1
197,0,64497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,5.68e+16,69,1804,0,1,2,1
